tipSampleSeparation,vDeflection,height,head-height,smoothedCapacitiveSensorHeight,capacitiveSensorHeight,smoothedMeasuredHeight,measuredHeight,seriesTime,time
8.3128484e-08,-1.306793e-09,8.042851e-06,6.339938e-06,8.787908e-08,8.767625e-08,8.787908e-08,8.767625e-08,4.93591,0.025710285
8.4406224e-08,-1.2330167e-09,8.044282e-06,6.341066e-06,8.888862e-08,8.881404e-08,8.888862e-08,8.881404e-08,4.9361105,0.025910364
8.537782e-08,-1.2437047e-09,8.045716e-06,6.3421967e-06,8.989907e-08,8.9842935e-08,8.989907e-08,8.9842935e-08,4.9363103,0.026110444
8.622337e-08,-1.2888145e-09,8.047137e-06,6.343317e-06,9.090861e-08,9.082517e-08,9.090861e-08,9.082517e-08,4.9365106,0.026310524
8.7050644e-08,-1.3389532e-09,8.048546e-06,6.3444277e-06,9.1918146e-08,9.196295e-08,9.1918146e-08,9.196295e-08,4.936711,0.026510604
8.875783e-08,-1.1470433e-09,8.049927e-06,6.345516e-06,9.2927685e-08,9.308963e-08,9.2927685e-08,9.308963e-08,4.9369106,0.026710683
9.366115e-08,-7.594256e-11,8.051319e-06,6.3466136e-06,9.3937224e-08,9.386742e-08,9.3937224e-08,9.386742e-08,4.937111,0.026910765
9.4682555e-08,-7.242719e-11,8.052741e-06,6.3477337e-06,9.4945854e-08,9.480965e-08,9.4945854e-08,9.480965e-08,4.9373107,0.027110845
9.567266e-08,-7.777293e-11,8.054142e-06,6.3488387e-06,9.595539e-08,9.607633e-08,9.595539e-08,9.607633e-08,4.937511,0.027310925
9.6587364e-08,-1.0361083e-10,8.055511e-06,6.3499174e-06,9.696402e-08,9.7088765e-08,9.696402e-08,9.7088765e-08,4.9377112,0.027511004
9.764715e-08,-8.9539244e-11,8.056895e-06,6.351009e-06,9.797265e-08,9.795302e-08,9.797265e-08,9.795302e-08,4.937911,0.027711084
9.863619e-08,-9.492682e-11,8.05831e-06,6.3521243e-06,9.898128e-08,9.8964136e-08,9.898128e-08,9.8964136e-08,4.9381113,0.027911164
9.968204e-08,-8.468954e-11,8.059706e-06,6.353224e-06,9.998991e-08,9.993748e-08,9.998991e-08,9.993748e-08,4.938311,0.028111244
1.0068102e-07,-8.7092444e-11,8.061102e-06,6.3543243e-06,1.0099763e-07,1.0095526e-07,1.0099763e-07,1.0095526e-07,4.9385114,0.028311325
1.0167439e-07,-9.1292376e-11,8.0624795e-06,6.3554107e-06,1.0200626e-07,1.0203305e-07,1.0200626e-07,1.0203305e-07,4.938711,0.028511405
1.0270182e-07,-8.586961e-11,8.063894e-06,6.356526e-06,1.0301398e-07,1.0285862e-07,1.0301398e-07,1.0285862e-07,4.9389114,0.028711485
1.0368339e-07,-9.306285e-11,8.065307e-06,6.3576394e-06,1.040217e-07,1.0384752e-07,1.040217e-07,1.0384752e-07,4.9391117,0.028911564
1.0466461e-07,-1.00353226e-10,8.066683e-06,6.358724e-06,1.0502942e-07,1.05236424e-07,1.0502942e-07,1.05236424e-07,4.9393115,0.029111644
1.0567176e-07,-1.0050887e-10,8.068068e-06,6.3598163e-06,1.0603714e-07,1.0580865e-07,1.0603714e-07,1.0580865e-07,4.939512,0.029311724
1.0672222e-07,-8.850319e-11,8.069485e-06,6.360933e-06,1.0704395e-07,1.0701866e-07,1.0704395e-07,1.0701866e-07,4.9397116,0.029511806
1.0770469e-07,-9.5446984e-11,8.070851e-06,6.36201e-06,1.0805167e-07,1.0803756e-07,1.0805167e-07,1.0803756e-07,4.939912,0.029711885
1.08652145e-07,-1.1177533e-10,8.072244e-06,6.363108e-06,1.0905848e-07,1.0905299e-07,1.0905848e-07,1.0905299e-07,4.940112,0.029911965
1.0975538e-07,-8.5250286e-11,8.073629e-06,6.3641996e-06,1.10065294e-07,1.1002314e-07,1.10065294e-07,1.1002314e-07,4.940312,0.030112045
1.1074867e-07,-8.871924e-11,8.075027e-06,6.3653015e-06,1.11071195e-07,1.1083648e-07,1.11071195e-07,1.1083648e-07,4.940512,0.030312125
1.1174088e-07,-9.273577e-11,8.076449e-06,6.366423e-06,1.12078006e-07,1.11903155e-07,1.12078006e-07,1.11903155e-07,4.940712,0.030512204
1.12663514e-07,-1.1564198e-10,8.077874e-06,6.3675457e-06,1.1308391e-07,1.12698714e-07,1.1308391e-07,1.12698714e-07,4.9409122,0.030712284
1.137227e-07,-1.0098496e-10,8.079317e-06,6.368683e-06,1.1408981e-07,1.1376095e-07,1.1408981e-07,1.1376095e-07,4.9411125,0.030912366
1.1464083e-07,-1.251296e-10,8.080744e-06,6.3698085e-06,1.1509571e-07,1.1490762e-07,1.1509571e-07,1.1490762e-07,4.9413123,0.031112446
1.1566606e-07,-1.1981041e-10,8.08213e-06,6.3709003e-06,1.1610161e-07,1.1604542e-07,1.1610161e-07,1.1604542e-07,4.9415126,0.031312525
1.1673049e-07,-1.0346013e-10,8.083516e-06,6.3719935e-06,1.171066e-07,1.1701432e-07,1.171066e-07,1.1701432e-07,4.9417124,0.031512607
1.1774758e-07,-1.0038157e-10,8.084899e-06,6.3730827e-06,1.181125e-07,1.17956546e-07,1.181125e-07,1.17956546e-07,4.9419127,0.031712685
1.1871866e-07,-1.09711414e-10,8.086303e-06,6.3741904e-06,1.19117495e-07,1.1891655e-07,1.19117495e-07,1.1891655e-07,4.942113,0.031912766
1.196405e-07,-1.3258444e-10,8.087712e-06,6.3753005e-06,1.2012248e-07,1.1985435e-07,1.2012248e-07,1.1985435e-07,4.9423127,0.032112844
1.2069272e-07,-1.1934226e-10,8.089131e-06,6.3764196e-06,1.2112656e-07,1.2090769e-07,1.2112656e-07,1.2090769e-07,4.942513,0.032312926
1.2188306e-07,-6.835776e-11,8.090556e-06,6.3775424e-06,1.2213155e-07,1.2175595e-07,1.2213155e-07,1.2175595e-07,4.942713,0.032513004
1.228366e-07,-8.226187e-11,8.091974e-06,6.378661e-06,1.2313564e-07,1.2302883e-07,1.2313564e-07,1.2302883e-07,4.942913,0.032713085
